,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
0,0,0,"Born This Way, de Lady Gaga",Angy,56,12,12,12,10,Toñi,,
1,0,0,"Pena, penita, pena, de Lola Flores",Toñi Salazar,52,10,10,10,12,Angy,,
2,0,0,"Amante bandido, de Miguel Bosé",Josema Yuste,38,8,9,8,9,Julio,,
3,0,0,"Vivir así es morir de amor, de Camilo Sesto",Francisco,31,7,8,7,8,Angy,,
4,0,0,"With or Without You, de Bono (U2)","Julio Iglesias, Jr.",30,5,5,5,5,Sylvia,,
5,0,0,"En el amor todo es empezar, de Raffaella Carrá",Carolina Ferre,28,9,6,6,7,Toñi,,
6,0,0,"Ven a bailar, de Jennifer Lopez",Sylvia Pantoja,25,6,4,4,6,Josema,,
7,0,0,"19 días y 500 noches, de Joaquín Sabina",Santiago Segura,24,4,7,9,4,Julio,,
0,0,1,"Cabaret, de Liza Minnelli (Cabaret)",Sylvia Pantoja,68,12,10,9,10,12,Santiago,
1,0,1,"Private Dancer, de Tina Turner","Julio Iglesias, Jr.",60,9,12,12,12,10,Santiago,
2,0,1,"I Just Called to Say I Love You, de Stevie Wonder",Santiago Segura,51,7,8,10,7,9,Sylvia,
3,0,1,"Me gustas mucho, de Rocío Dúrcal",Angy,45,10,9,8,6,7,Sylvia,
4,0,1,"Nessun dorma, de Luciano Pavarotti",Francisco,36,8,6,7,9,6,Julio,
5,0,1,"El chiringuito, El africano y La barbacoa, de Georgie Dann",Josema Yuste,34,6,7,5,8,8,Angy,
6,0,1,"La, la, la, de Massiel",Toñi Salazar,28,4,5,6,4,4,Sylvia,
7,0,1,"Like a Virgin, de Madonna",Carolina Ferre,23,5,4,4,5,5,Toñi,
0,0,2,Como una ola  de Rocío Jurado,Francisco,63,6,6,10,7,9,Toñi,
1,0,2,Soy gitano de Camarón de la Isla,Toñi Salazar,58,10,10,9,9,10,Francisco,
2,0,2,Escándalo de Raphael,Santiago Segura,56,12,12,8,12,12,Francisco,
3,0,2,Las flechas del amor de Karina,Carolina Ferre,45,8,7,12,10,8,Francisco,
4,0,2,Only Girl (In the World) de Rihanna,Angy,36,9,9,6,5,7,Julio,
5,0,2,It's My Life de Jon Bon Jovi (Bon Jovi),"Julio Iglesias, Jr.",32,5,5,5,6,6,Francisco,
6,0,2,Loca de Shakira,Sylvia Pantoja,31,7,8,7,4,5,Francisco,
7,0,2,Imagine de John Lennon,Josema Yuste,24,4,4,4,8,4,Toñi,
0,0,3,Girls Just Want to Have Fun de Cyndi Lauper,Angy,59,12,9,8,10,10,Carolina,
1,0,3,Bomba de King África,Carolina Ferre,57,8,8,10,12,9,Angy,
2,0,3,Esta cobardía de Chiquetete,Sylvia Pantoja,49,10,10,12,9,8,Julio,
3,0,3,"No Woman, No Cry de Bob Marley","Julio Iglesias, Jr.",47,9,12,7,8,6,Angy,
4,0,3,No hago otra cosa que pensar en ti de Joan Manuel Serrat,Josema Yuste,40,7,6,4,6,12,Santiago,
5,0,3,Are You Lonesome Tonight? de Elvis Presley,Francisco,32,6,5,9,5,7,Santiago,
6,0,3,I've Got You Under My Skin de Frank Sinatra,Santiago Segura,31,4,4,5,4,4,Josema,
7,0,3,A quién le importa de Alaska (Alaska y Dinarama),Toñi Salazar,30,5,7,6,7,5,Carolina,
0,0,4,Se acabó de María Jiménez,Toñi Salazar,57,10,10,8,12,12,Sylvia,
1,0,4,I Wanna Be Loved By You de Marilyn Monroe (Con faldas y a lo loco),Sylvia Pantoja,47,8,7,9,7,6,Toñi,
2,0,4,(I Can't Get No) Satisfaction de Mick Jagger (The Rolling Stones),"Julio Iglesias, Jr.",46,12,9,10,10,5,Carolina,
3,0,4,Dile de Luis Aguilé,Josema Yuste,44,9,8,5,9,8,Carolina,
4,0,4,Thriller de Michael Jackson,Angy,42,7,6,12,5,7,Toñi,
5,0,4,Dos gardenias de Antonio Machín,Francisco,42,6,12,7,8,9,Josema,
6,0,4,Ni una sola palabra de Paulina Rubio,Carolina Ferre,38,4,4,4,6,10,Sylvia,
7,0,4,"Mamá, quiero ser artista y La chica ye-ye de Concha Velasco",Santiago Segura,24,5,5,6,4,4,Angy,
0,0,5,Un año más de Ana Torroja (Mecano),Josema Yuste,65,10,12,12,12,9,Sylvia,
1,0,5,Mi jaca de Estrellita Castro,Sylvia Pantoja,60,12,10,10,10,8,Toñi,
2,0,5,Sarandonga de Lolita Flores,Carolina Ferre,49,7,7,9,9,7,Josema,
3,0,5,Hey y Me olvidé de vivir de Julio Iglesias,"Julio Iglesias, Jr.",42,8,9,8,7,10,Francisco,
4,0,5,"Me va, me va y Bamboleo de Julio Iglesias",Santiago Segura,42,9,8,7,6,12,Carolina,
5,0,5,Hero de Mariah Carey,Angy,32,6,6,6,8,6,Carolina,
6,0,5,Yo viviré de Celia Cruz,Toñi Salazar,28,5,4,5,5,4,Sylvia,
7,0,5,It's not Unusual de Tom Jones,Francisco,27,4,5,4,4,5,Josema,
0,0,6,El gato que está triste y azul y Un millón de amigos de Roberto Carlos,Santiago Segura,61,8,12,8,10,8,Toñi,
1,0,6,Smells Like Teen Spirit de Kurt Cobain (Nirvana),"Julio Iglesias, Jr.",60,9,6,9,9,12,Santiago,
2,0,6,Maldito duende de Enrique Bunbury (Héroes del Silencio),Francisco,49,12,10,6,12,9,Santiago,
3,0,6,Bulería de David Bisbal,Angy,48,10,9,12,7,10,Julio,
4,0,6,Bienvenidos de Miguel Ríos,Josema Yuste,37,7,8,7,8,7,Sylvia,
5,0,6,Marinero de luces de Isabel Pantoja,Toñi Salazar,32,4,7,5,6,5,Julio,
6,0,6,Cuando tú vas de Chenoa,Carolina Ferre,30,6,5,10,5,4,Julio,
7,0,6,Al son del tambor de Rosario Flores,Sylvia Pantoja,28,5,4,4,4,6,Santiago,
0,0,7,Rehab de Amy Winehouse,"Julio Iglesias, Jr.",62,10,12,10,10,5,Toñi,
1,0,7,Karma Chameleon de Boy George (Culture Club),Santiago Segura,57,12,9,12,9,10,Julio,
2,0,7,El partido de fútbol de Rita Pavone,Carolina Ferre,48,7,10,8,12,6,Sylvia,
3,0,7,Loca de Luz Casal,Toñi Salazar,47,9,8,6,7,7,Julio,
4,0,7,Soy yo de Marta Sánchez,Sylvia Pantoja,38,5,5,9,5,9,Carolina,
5,0,7,"Pavo real de José Luis Rodríguez ""El Puma""",Josema Yuste,37,8,6,7,8,8,Toñi,
6,0,7,Left Outside Alone de Anastacia,Angy,35,6,7,4,6,12,Santiago,
7,0,7,Vivo cantando de Salomé,Francisco,21,4,4,5,4,4,Julio,
0,0,8,Si bastasen un par de canciones y Fantástico amor de Eros Ramazzotti,Santiago Segura,55,12,10,10,8,Angy,,
1,0,8,Don't Stop Me Now de Freddie Mercury (Queen),Angy,48,9,12,12,10,Sylvia,,
2,0,8,Su canción de Betty Missiego,Josema Yuste,42,10,9,9,9,Carolina,,
3,0,8,Torero de Chayanne,Carolina Ferre,39,4,6,7,12,Santiago,,
4,0,8,Last Dance de Donna Summer,Sylvia Pantoja,29,7,5,5,7,Josema,,
5,0,8,Lo siento mi amor de Falete,Toñi Salazar,27,8,7,8,4,Santiago,,
6,0,8,Gloria de Umberto Tozzi,"Julio Iglesias, Jr.",26,6,8,6,6,Santiago,,
7,0,8,Cobarde de David Bustamante,Francisco,18,5,4,4,5,Carolina,,
0,1,0,"These Boots Are Made for Walkin', de Nancy Sinatra",Roko,57,12,12,12,12,9,Daniel,
1,1,0,"Aire, de Pedro Marín",Arturo Valls,50,8,10,10,10,12,Daniel,
2,1,0,Viaje con nosotros y Caperucita feroz de Javier Gurruchaga (Orquesta Mondragón),Santiago Segura,48,9,9,8,8,4,María,
3,1,0,"Can't Get You Out of My Head , de Kylie Minogue",Anna Simon,44,10,8,9,7,10,Santiago,
4,1,0,"I will always love you, de Whitney Houston",Daniel Diges,41,5,5,4,9,8,Santiago,
5,1,0,"Se fue, de Laura Pausini",Ángeles Muñoz,35,4,7,6,6,7,María,
6,1,0,"Bailar pegados, de Sergio Dalma",Javier Herrero,35,7,6,7,4,6,Ángeles,
7,1,0,"El bimbó, El negro no puede, El africano y La barbacoa, de Georgie Dann",María del Monte,35,6,4,5,5,5,Javier,
0,1,1,"Soy minero, de Antonio Molina",Daniel Diges,46,7,7,6,8,8,Javier,
1,1,1,"Lágrimas negras, de Diego el Cigala",Javier Herrero,39,6,8,7,4,4,María,
2,1,1,"Juntos, de Paloma San Basilio",Roko,29,8,6,4,6,5,Arturo,
3,1,1,"Quizás, quizás, quizás, Ansiedad, Cachito, Yo vendo unos ojos negros y Capullito de alhelí, de Nat King Cole",Santiago Segura,29,4,4,8,7,6,Anna,
4,1,1,"Mi tierra, de Gloria Estefan",María del Monte,29,4,4,5,4,7,Anna,
5,1,1,"Fly away, de Lenny Kravitz",Anna Simon,30,4,4,4,4,4,Daniel,
6,1,1,"Por la boca vive el pez, de Fito Cabrales (Fito y Fitipaldis)",Ángeles Muñoz,22,5,4,4,5,4,Daniel,
7,1,1,"Faith, de George Michael",Arturo Valls,26,4,5,4,4,4,Javier,
0,1,2,"Que nadie sepa mi sufrir, de María Dolores Pradera",María del Monte,52,8,7,7,7,8,Santiago,
1,1,2,"Noelia, de Nino Bravo",Daniel Diges,39,7,6,8,6,7,Anna,
2,1,2,"Baby, de Justin Bieber",Roko,34,6,8,4,5,6,Marìa,
3,1,2,"Que me coma el tigre, de Lola Flores",Anna Simon,31,4,4,6,8,4,Marìa,
4,1,2,"Ilarié, de Xuxa",Ángeles Muñoz,24,5,5,4,5,5,Roko,
5,1,2,"Solo pienso en ti y Nada sabe tan dulce como su boca, de Víctor Manuel",Santiago Segura,26,4,4,5,4,4,Daniel,
6,1,2,"Sola (con un desconocido), de Marta Sánchez (Olé Olé)",Arturo Valls,25,4,4,4,4,4,Marìa,
7,1,2,"Mañanas de terciopelo, de Demis Roussos",Javier Herrero,20,4,4,4,4,4,Arturo,
0,1,3,"Dulce locura, de Amaia Montero (La Oreja de Van Gogh)",Anna Simon,59,8,8,7,8,8,Ángeles,
1,1,3,"Como un vagabundo, de Bertín Osborne",Arturo Valls,41,5,7,6,6,7,Anna,
2,1,3,"Volver, de Carlos Gardel",María del Monte,29,4,5,8,7,5,Arturo,
3,1,3,"Sevillanas de los bloques (Estoy atacá), de Martirio",Roko,29,6,6,4,4,4,Anna,
4,1,3,"Eloise, de Tino Casal",Daniel Diges,24,7,4,5,4,4,Arturo,
5,1,3,"Love me tender y Viva Las Vegas, de Elvis Presley",Santiago Segura,23,4,4,4,5,6,Roko,
6,1,3,"Fue tan poco tu cariño, de Rocío Dúrcal",Ángeles Muñoz,31,4,4,4,4,4,Anna,
7,1,3,"La flaca, de Pau Donés (Jarabe de Palo)",Javier Herrero,20,4,4,4,4,4,Anna,
0,1,4,"Yo no soy esa, de Mari Trini",Javier Herrero,55,4,4,4,4,4,Ángeles,
1,1,4,"Someone like you, de Adele",Roko,36,6,8,6,8,8,Javier,
2,1,4,"Fumando espero, de Sara Montiel (El último cuplé)",María del Monte,33,8,7,7,7,4,Javier,
3,1,4,"Super Superman, de Miguel Bosé",Arturo Valls,31,7,6,8,4,6,Javier,
4,1,4,"El toro guapo y Apatrullando la ciudad, de El Fary",Santiago Segura,23,4,4,4,4,7,Javier,
5,1,4,"Bad romance, de Lady Gaga",Anna Simon,23,4,5,5,5,4,Javier,
6,1,4,"No soy un superman, de David Bustamante",Daniel Diges,23,5,4,4,6,4,Javier,
7,1,4,"No dudaría, de Antonio Flores",Ángeles Muñoz,25,4,4,4,4,4,Javier,
0,1,5,"Never gonna give you up, de Rick Astley",Arturo Valls,47,7,8,8,4,María,,
1,1,5,"La bien pagá, de Miguel de Molina",Roko,34,8,7,6,8,Ángeles,,
2,1,5,"Mujer latina, de Thalía",Ángeles Muñoz,23,4,4,5,5,Arturo,,
3,1,5,"Ai Se Eu Te Pego, de Michel Teló",María del Monte,23,4,6,4,4,Arturo,,
4,1,5,"Visa para un sueño, La bilirrubina y Ojalá que llueva café, de Juan Luis Guerra",Santiago Segura,28,4,4,4,6,Arturo,,
5,1,5,"Yo quiero bailar, de Sonia Madoc (Sonia y Selena)",Anna Simon,21,5,5,7,4,Anna:Arturo      Patricia: Santiago,,
6,1,5,"The Final Countdown, de Joey Tempest (Europe)",Daniel Diges,21,6,4,4,7,Roko,,
7,1,5,"Perdóname, de Camilo Sesto",Javier Herrero,16,4,4,4,4,Santiago,,
0,1,6,"Mi gente, de Lucrecia",Ángeles Muñoz,56,4,4,4,4,Arturo,,
1,1,6,"Price Tag, de Jessie J",Roko,31,8,8,7,8,Ángeles,,
2,1,6,"Estando contigo y Tómbola, de Marisol",Anna Simon,27,6,7,8,6,Ángeles,,
3,1,6,"Amor de hombre, de Amaya Uranga (Mocedades)",María del Monte,26,7,6,6,7,Ángeles,,
4,1,6,"Experiencia religiosa, de Enrique Iglesias",Arturo Valls,25,5,5,5,5,Ángeles,,
5,1,6,"Será que no me amas, de Luis Miguel",Daniel Diges,16,4,4,4,4,Ángeles,,
6,1,6,"Killing Me Softly, de Pitingo",Javier Herrero,16,4,4,4,4,Ángeles,,
7,1,6,"Sólo se vive una vez, de Encarna Salazar (Azúcar Moreno)",Santiago Segura,16,4,4,4,4,Julio:Ángeles Santiago:Ángeles,,
0,1,7,"Gangnam Style, de PSY",Santiago Segura,60,8,8,8,8,8,Ángeles,
1,1,7,"Hijo de la luna, de Montserrat Caballé",Daniel Diges,39,7,7,7,7,6,Santiago,
2,1,7,"Este amor no se toca, de Yuri",Roko,27,6,6,4,6,5,Anna,
3,1,7,"Entre mis recuerdos, de Luz Casal",Ángeles Muñoz,29,4,4,5,4,7,Santiago,
4,1,7,"California Gurls, de Katy Perry",Anna Simon,28,5,5,4,5,4,Santiago,
5,1,7,"Gavilán o paloma, de Pablo Abraira",Javier Herrero,22,4,4,6,4,4,Santiago,
6,1,7,"Umbrella, de Rihanna",Arturo Valls,20,4,4,4,4,4,Daniel,
7,1,7,"Soy rebelde y Por qué te vas, de Jeanette",María del Monte,20,4,4,4,4,4,Roko,
0,1,8,"Euphoria, de Loreen",Roko,54,8,8,8,7,8,Marìa,
1,1,8,"Canta y sé feliz, de Peret",María del Monte,48,7,7,5,8,6,Roko,
2,1,8,"Bailemos un vals, de José Vélez",Arturo Valls,31,5,6,7,6,7,Santiago,
3,1,8,"Marionetas en la cuerda, de Sandie Shaw",Anna Simon,24,6,4,4,5,5,Roko,
4,1,8,"Baila el chiki chiki, de Rodolfo Chiquilicuatre",Santiago Segura,27,4,4,6,4,4,Marìa,
5,1,8,"Europe's living a celebration, de Rosa López",Daniel Diges,21,4,5,4,4,4,Marìa,
6,1,8,"Diva, de Dana International",Ángeles Muñoz,20,4,4,4,4,4,Javier,
7,1,8,"Gwendolyne, de Julio Iglesias",Javier Herrero,25,4,4,4,4,4,Roko,
0,1,9,"Francisco Alegre, de Juanita Reina",María del Monte,72,12,12,9,12,12,Ángeles,
1,1,9,"My baby just cares for me, de Nina Simone",Roko,56,10,9,12,10,10,Marìa,
2,1,9,"Pretty woman, de Roy Orbison",Daniel Diges,48,9,10,10,6,8,Arturo,
3,1,9,"El baile del gorila, de Melody",Ángeles Muñoz,44,7,6,8,9,9,Roko,
4,1,9,"Así me gusta a mí y La tía Enriqueta, de Chimo Bayo",Arturo Valls,35,4,8,4,7,7,Marìa,
5,1,9,"Dance Again, de Jennifer López",Anna Simon,32,6,5,7,4,5,Marìa,
6,1,9,"Maria Caipirinha, de Carlinhos Brown",Santiago Segura,32,8,7,5,8,4,Anna,
7,1,9,"Nada fue un error, de Coti",Javier Herrero,26,5,4,6,5,6,Daniel,
0,1,10,"Fiesta, de Raffaella Carrá",Santiago Segura,51,9,10,10,12,Roko,,
1,1,10,"Ni tu ni nadie, de Alaska",Anna Simon,44,10,12,12,10,María,,
2,1,10,"Suerte, de Shakira",Roko,44,12,9,9,9,Arturo,,
3,1,10,"Corazón partío, de Alejandro Sanz",Javier Herrero,33,4,5,6,8,Daniel,,
4,1,10,"Y, ¿si fuera ella?, de Alejandro Sanz",Daniel Diges,30,7,8,4,6,Javier,,
5,1,10,"Loba, de Shakira",Arturo Valls,29,5,7,5,7,Javier,,
6,1,10,"Bailando, de Alaska",María del Monte,29,8,4,7,5,Santiago,,
7,1,10,"Hay que venir al sur, de Raffaella Carrá",Ángeles Muñoz,24,6,6,8,4,Santiago,,
0,1,11,"Luz de luna, de Chavela Vargas",María del Monte,70,12,12,12,12,12,Ángeles,
1,1,11,"Violetas imperiales, de Luis Mariano",Daniel Diges,56,10,8,10,9,9,Santiago,
2,1,11,"Hola don Pepito, Susanita, Mi familia, Chinito de amor y El auto nuevo, de Fofito (Los Payasos de la Tele)",Santiago Segura,46,7,9,7,10,8,Daniel,
3,1,11,"Starman, de David Bowie",Arturo Valls,45,9,10,8,8,10,Javier,
4,1,11,"Se me enamora el alma, de Isabel Pantoja",Ángeles Muñoz,39,5,6,5,6,7,María,
5,1,11,"Help, ayúdame, de Tony Ronald",Javier Herrero,31,4,4,9,5,4,María,
6,1,11,"Call me maybe, de Carly Rae Jepsen",Anna Simon,30,6,7,4,7,6,Daniel,
7,1,11,"Starships, de Nicki Minaj",Roko,28,8,5,6,4,5,Ángeles,
0,1,12,"Qué será, de José Feliciano",Arturo Valls,68,12,12,9,8,12,María,
1,1,12,"Valió la pena, de Marc Anthony",Daniel Diges,50,10,9,7,10,9,Ángeles,
2,1,12,"Tenía tanto que darte, de Mai Meneses (Nena Daconte)",Ángeles Muñoz,46,6,7,6,12,10,María,
3,1,12,"Purple rain, de Prince",Santiago Segura,46,9,10,10,9,8,Daniel,
4,1,12,"Un ramito de violetas, de Manzanita",María del Monte,43,7,6,8,6,6,Arturo,
5,1,12,"Love is the only way, de Macaco",Roko,36,8,8,5,5,5,Arturo,
6,1,12,"El baile de los pajaritos, de María Jesús y su acordeón",Javier Herrero,29,4,5,12,4,4,Arturo,
7,1,12,"La madre de José, de Dani Martín (El Canto del Loco)",Anna Simon,27,5,4,4,7,7,Roko,
0,1,13,"One way or another, de Deborah Harry (Blondie)",Anna Simon,55,12,9,12,12,Javier,,
1,1,13,"Ma Baker, Rasputin y Daddy Cool, de Bobby Farrell (Boney M)",Santiago Segura,49,9,12,9,9,Anna,,
2,1,13,"Party rock anthem y Sexy and I know it, de Redfoo (LMFAO)",Arturo Valls,38,8,10,10,10,Anna,,
3,1,13,"Tú me camelas, de Niña Pastori",Daniel Diges,34,6,6,6,6,Santiago,,
4,1,13,"Búscate un hombre que te quiera e Himno del Sevilla, de El Arrebato",María del Monte,34,10,8,8,8,Daniel,,
5,1,13,"Barbie girl, de Lene Nystrøm (Aqua)",Ángeles Muñoz,28,7,7,7,7,Daniel,,
6,1,13,"¿Y cómo es él?, de José Luis Perales",Javier Herrero,25,5,5,5,5,Santiago,,
0,1,14,"Video games, de Lana del Rey",Roko,1.ª Finalista (Jurado),,,,,,,
1,1,14,"Azul, de Cristian Castro",Daniel Diges,2º Finalista (Público),,,,,,,
2,1,14,"Da ya think I'm sexy?, de Rod Stewart",Arturo Valls,3.er Finalista (Público),,,,,,,
3,1,14,"Puro teatro, de La Lupe",María del Monte,Eliminada / 4.ª Clasificada,,,,,,,
4,1,14,"Great balls of fire, de Jerry Lee Lewis",Santiago Segura,Eliminado / 5.º Clasificado,,,,,,,
5,1,14,"Eres un enfermo, de Vicky Bodega (Las Supremas de Móstoles)",Anna Simon,,,,,,,,
6,1,14,"Eres un enfermo, de Luisi Bodega (Las Supremas de Móstoles)",Ángeles Muñoz,,,,,,,,
7,1,14,"La de la mochila azul, de Pedrito Fernández",Javier Herrero,,,,,,,,
0,2,0,"Girl on Fire, de Alicia Keys",Edurne,56,11,12,11,12,Santi,,
1,2,0,"Laura no está, de Nek",Xuso Jones,46,9,11,10,11,Edurne,,
2,2,0,"Arrasando, de Thalía",Melody,43,12,10,12,9,Florentino,,
3,2,0,"The best, de Tina Turner",Ángela Carrasco,42,8,9,7,8,Santi,,
4,2,0,"No controles, de Vicky Larraz (Olé Olé)",Llum Barrera,36,10,7,9,10,Ángela,,
5,2,0,"Veo, veo, de Teresa Rabal",Santi Rodríguez,35,6,6,8,5,Xuso,,
6,2,0,"Me encanta, de Mario Vaquerizo (Nancys Rubias)",Florentino Fernández,30,7,5,6,7,Los Chunguitos,,
7,2,0,"Sex Bomb, de Tom Jones",José Manuel Soto,23,5,8,4,6,Edurne,,
8,2,0,"La raja de tu falda, de Estopa",Los Chunguitos,22,4,4,5,4,Ángela,,
0,2,1,"Paco, Paco, Paco, de Encarnita Polo",Llum Barrera,61,11,12,12,11,Florentino,,
1,2,1,"Aprendiz, de Malú",Melody,45,12,10,11,12,Los Chunguitos,,
2,2,1,"Por ti volaré, de Andrea Bocelli",Florentino Fernández,41,6,8,10,7,Llum,,
3,2,1,"Sweet child o' mine, de Axl Rose",Edurne,39,10,11,8,10,Angela,,
4,2,1,"La gata bajo la lluvia, de Rocio Dúrcal",Angela Carrasco,36,7,9,6,9,Los Chunguitos,,
5,2,1,"Resistiré, de Dúo Dinámico",Los Chunguitos,32,4,4,4,5,Florentino,,
6,2,1,"I know you want me, de Pitbull",Santi Rodríguez,30,9,6,9,6,Llum,,
