temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
3,4,"I dreamed a dream, de Susan Boyle",Llum Barrera,9,12.0,10,6,0,Xuso,0.0,37,0
3,4,"Firework, de Katy Perry",Melody,11,10.0,8,8,0,Ángela,0.0,37,0
3,4,"Sin ti no soy nada, de Eva Amaral (Amaral)",Edurne,8,7.0,9,9,0,Florentino,0.0,33,0
3,4,"Mi limón, mi limonero, de Henry Stephen",Santi Rodríguez,6,6.0,7,7,0,Ángela,0.0,31,0
3,4,"Te he echado de menos, de Pablo Alborán",José Manuel Soto,5,5.0,5,5,0,Ángela,0.0,25,0
3,4,"Bandido, de Azúcar Moreno",Los Chunguitos,4,4.0,4,4,0,José Manuel,0.0,16,0
3,5,"El chow chow y Que güeno que estoy, de El Sevilla (Mojinos Escozíos)",Florentino Fernández,11,7.0,12,11,0,Los Chunguitos,0.0,61,0
3,5,"Try, de P!nk",Edurne,12,12.0,11,12,0,José Manuel,0.0,57,0
3,5,"Todos me miran, de Gloria Trevi",Melody,10,11.0,10,8,0,Edurne,0.0,39,0
3,5,"El tío Calambres, de Luis Aguilé",Llum Barrera,8,10.0,9,10,0,Edurne,0.0,37,0
3,5,"El puente, de Helena Bianco (Los Mismos)",Angela Carrasco,9,9.0,6,6,0,José Manuel,0.0,30,0
3,5,"Candle in the wind, de Elton John",José Manuel Soto,5,5.0,5,5,0,Florentino,0.0,30,0
3,5,"Rolling in the deep, de Adele",Xuso Jones,7,8.0,8,7,0,Florentino,0.0,30,0
3,5,"Toda, de Jesulín de Ubrique",Santi Rodríguez,6,6.0,7,9,0,Florentino,0.0,28,0
3,5,"Son de amores, de Andy y Lucas",Los Chunguitos,4,4.0,4,4,0,Florentino,0.0,21,0
3,6,"Opá, yo viazé un corrá, de El Koala",José Manuel Soto,10,7.0,7,8,0,Xuso,0.0,72,0
3,6,"Blurred Lines, de Robin Thicke",Xuso Jones,8,9.0,12,12,0,José Manuel,0.0,46,0
3,6,"Cariño trianero, de Carmen Sevilla",Edurne,12,11.0,11,10,0,José Manuel,0.0,44,0
3,6,"La copa de la vida, de Ricky Martin",Melody,11,12.0,10,9,0,José Manuel,0.0,42,0
3,6,"Sweet Dreams (Are Made of This), de Marilyn Manson",Florentino Fernández,9,10.0,9,11,0,José Manuel,0.0,39,0
3,6,"Tik Tok, de Ke$ha",Llum Barrera,7,8.0,8,6,0,José Manuel,0.0,29,0
3,6,"Que pasa contigo tío, de Los Golfos",Los Chunguitos,6,6.0,6,4,0,José Manuel,0.0,22,0
3,6,"She Works Hard for the Money, de Donna Summer",Ángela Carrasco,5,5.0,4,7,0,José Manuel,0.0,21,0
3,6,"Time goes by con Loli, de La Terremoto de Alcorcón",Santi Rodríguez,4,4.0,5,5,0,José Manuel,0.0,18,0
3,7,"Aquí no hay playa, de Bernardo J. Vázquez (The Refrescos)",Xuso Jones,12,8.0,9,9,0,Ángela,0.0,63,10
3,7,"Waka Waka (Esto es África), de Shakira",Edurne,10,11.0,10,10,0,Llum,0.0,57,11
3,7,"El camaleón, Saltando sin parar y La bomba, de King África",Florentino Fernández,8,10.0,11,11,0,Santi,0.0,52,12
3,7,"I will survive, de Gloria Gaynor",Melody,11,12.0,12,12,0,Xuso,0.0,51,4
3,7,"Cartagena, Pulpa de tamarindo y Me lo dijo Pérez, de Alma María Vaesken (Los 3 Sudamericanos)",Llum Barrera,9,9.0,8,8,0,Xuso,0.0,47,8
3,7,"La bilirrubina, de Juan Luis Guerra",Ángela Carrasco,6,6.0,5,6,0,Xuso,0.0,40,7
3,7,"A-ba-ni-bi, de El Chaval de la Peca",José Manuel Soto,7,7.0,7,7,0,Los Chunguitos,0.0,37,9
3,7,"Eva María y Vacaciones de verano, de Paco Pastor (Fórmula V)",Santi Rodríguez,4,4.0,6,5,0,Ángela,0.0,29,5
3,7,"Macarena, de Los Del Río",Los Chunguitos,5,5.0,4,4,0,Edurne,0.0,29,6
3,8,"Cantinero de Cuba, de Sergio y Estíbaliz",Los Chunguitos,4,4.0,12,11,0,José Manuel,0.0,66,0
3,8,"Man! I feel like a woman, de Shania Twain",Edurne,11,11.0,9,12,0,Los Chunguitos,0.0,48,0
3,8,"Achilipú, de Dolores Vargas",Melody,12,12.0,10,8,0,Los Chunguitos,0.0,42,0
3,8,"La culpa fue del cha-cha-cha, de Jaime Urrutia (Gabinete Caligari)",Santi Rodríguez,7,6.0,11,10,0,Edurne,0.0,34,0
3,8,"Enséñame a cantar, de Micky",José Manuel Soto,6,7.0,5,9,0,Los Chunguitos,0.0,32,0
3,8,"This Love, de Adam Levine (Maroon 5)",Xuso Jones,9,10.0,8,4,0,Los Chunguitos,0.0,31,0
3,8,"Rata de dos patas, de Paquita la del Barrio",Florentino Fernández,8,9.0,6,7,0,Los Chunguitos,0.0,30,0
3,8,"El Noa-Noa, de Massiel",Llum Barrera,10,8.0,7,5,0,Los Chunguitos,0.0,30,0
3,8,"Qué hiciste, de Jennifer Lopez",Ángela Carrasco,5,5.0,4,6,0,Los Chunguitos,0.0,20,0
3,9,"Antes muerta que sencilla, de María Isabel",Llum Barrera,12,12.0,12,12,0,Ángela,0.0,53,0
3,9,"Dame veneno y Me sabe a humo, de Los Chunguitos",Florentino Fernández,11,6.0,11,5,0,Los Chunguitos,0.0,43,0
3,9,"Dame veneno y Me sabe a humo, de Los Chunguitos",Santi Rodríguez,11,6.0,11,5,0,Los Chunguitos,0.0,43,0
3,9,"Toxic, de Britney Spears",Xuso Jones,10,7.0,9,11,0,Llum,0.0,42,0
3,9,"Poker face, de Lady Gaga",Edurne,9,11.0,10,10,0,Xuso,0.0,40,0
3,9,"Quédate conmigo, de Pastora Soler",Melody,8,10.0,5,6,0,Santi y Florentino,0.0,39,0
3,9,"Tico tico no fubá y Mamãe eu quero, de Carmen Miranda",Ángela Carrasco,7,9.0,8,9,0,Melody,0.0,38,0
3,9,"Tatuaje, de Concha Marquez Piquer",José Manuel Soto,6,8.0,7,8,0,Melody,0.0,29,0
3,9,"Te estoy amando locamente, de Las Grecas",Los Chunguitos,5,5.0,6,7,0,Santi y Florentino,0.0,28,0
3,10,"Ma quale idea, de Pino D'Angiò",Santi Rodríguez,7,9.0,12,7,0,Ángela,0.0,70,0
3,10,"Impossible, de James Arthur",Xuso Jones,11,12.0,11,12,0,Santi,0.0,46,0
3,10,"The Shoop Shoop Song (It's in His Kiss), de Cher",Melody,12,11.0,9,11,0,Los Chunguitos,0.0,43,0
3,10,"Grace Kelly, de Mika",Edurne,10,10.0,8,10,0,Santi,0.0,38,0
3,10,Cómo pudiste hacerme esto a mí de Alaska (Alaska y Dinarama/Fangoria),Llum Barrera,9,8.0,10,8,0,Santi,0.0,35,0
3,10,"Credo, de Elsa Baeza",Ángela Carrasco,6,6.0,6,9,0,Santi,0.0,32,0
3,10,"El probe Miguel, de Esperanza la del Maera (Triana Pura)",Florentino Fernández,8,7.0,7,5,0,Santi,0.0,27,0
3,10,"La media vuelta, de Luis Miguel",José Manuel Soto,5,5.0,5,6,0,Santi,0.0,21,0
3,10,"Me pongo colorada, de Papá Levante",Los Chunguitos,4,4.0,4,4,0,Santi,0.0,21,0
3,11,"Salomé, de Chayanne",Xuso Jones,8,8.0,10,11,0,Ángela,0.0,49,0
3,11,"Morena mía, de Miguel Bosé",Santi Rodríguez,12,12.0,11,8,0,Edurne,0.0,45,0
3,11,"El príncipe de Bel-Air y Gettin' Jiggy With It, de Will Smith",Florentino Fernández,7,11.0,9,10,0,Xuso,0.0,42,0
3,11,"Don't speak, de Gwen Stefani (No Doubt)",Melody,9,10.0,12,9,0,Xuso,0.0,42,0
3,11,"Knock on wood, de Amii Stewart",Edurne,10,9.0,8,7,0,Los Chunguitos,0.0,38,0
3,11,"Necesito respirar, de Manuel Martínez (Medina Azahara)",José Manuel Soto,11,5.0,6,6,0,Los Chunguitos,0.0,33,0
3,11,"Boys don't cry, de Robert Smith (The Cure)",Llum Barrera,5,7.0,7,12,0,Xuso,0.0,31,0
3,11,"La vida es bella, de Noa",Ángela Carrasco,6,6.0,5,5,0,Santi,0.0,27,0
3,11,"Loco Mia, de Locomia",Los Chunguitos,4,4.0,4,4,0,José Manuel,0.0,26,0
3,12,"Bring me to life, de Amy Lee (Evanescence)",Edurne,12,12.0,11,12,0,Llum,0.0,62,0
3,12,"Amigo conductor, de Perlita de Huelva",Llum Barrera,11,6.0,10,11,0,Edurne,0.0,48,0
3,12,"Quiéreme, de El Barrio",José Manuel Soto,10,9.0,12,10,0,Llum,0.0,46,0
3,12,"La gota fría, de Carlos Vives",Ángela Carrasco,8,10.0,8,9,0,Edurne,0.0,45,0
3,12,"As Long as You Love Me, de Justin Bieber",Xuso Jones,6,11.0,9,8,0,Edurne,0.0,39,0
3,12,"Carolina, de Carlos Tarque (M Clan)",Santi Rodríguez,9,8.0,6,7,0,José Manuel,0.0,30,0
3,12,"Clavado en un bar, de Fernando Olvera (Maná)",Melody,7,7.0,7,6,0,Angela,0.0,27,0
3,12,"The Fox, de Bård Ylvisåker con Miki Nadal como Vegard Ylvisåker (Ylvis)",Florentino Fernández,5,5.0,5,5,0,Xuso,0.0,20,0
3,12,"La puerta de Alcalá, de Ana Belén y Víctor Manuel",Los Chunguitos,4,4.0,4,4,0,Angela,0.0,16,0
3,13,"What's Up?, de Linda Perry (4 Non Blondes)",Edurne,12,12.0,12,12,0,Melody,0.0,53,0
3,13,"Yo no te pido la luna, de Fiordaliso",Melody,11,11.0,8,8,0,José Manuel,0.0,53,0
3,13,"Irressistible/Ouragan, de Estefanía de Mónaco",Llum Barrera,7,7.0,9,10,0,Santi,0.0,38,0
3,13,"Nada cambiará mi amor por ti, de Glenn Medeiros",Xuso Jones,9,10.0,10,9,0,Melody,0.0,38,0
3,13,"Dolce vita, de Ryan Paris",José Manuel Soto,5,8.0,7,6,0,Melody,0.0,36,0
3,13,"Born to be alive, de Patrick Hernández",Florentino Fernández,8,6.0,11,7,0,Edurne,0.0,32,0
3,13,"Hasiendo el amor, de Dinio",Santi Rodríguez,10,5.0,6,4,0,Llum,0.0,30,0
3,13,"No rompas más (Mi pobre corazón), de Coyote Dax",Ángela Carrasco,6,9.0,4,11,0,Los Chunguitos,0.0,30,0
3,13,"Vamos a la playa, de Righeira",Los Chunguitos,4,4.0,5,5,0,José Manuel,0.0,23,0
3,14,"The boy does nothing, de Alesha Dixon",Melody,11,10.0,10,11,0,Llum,0.0,57,0
3,14,"Crazy in love, de Beyoncé",Edurne,12,12.0,12,12,0,Santi,0.0,53,0
3,14,"Hey ya!, de André 3000 (Outkast)",Xuso Jones,10,11.0,11,9,0,Florentino,0.0,46,0
3,14,"Rufino, de Luz Casal",Llum Barrera,8,6.0,9,10,0,Melody,0.0,38,0
3,14,"Historia de un amor, de Eydie Gormé con Café Quijano como Los Panchos",Ángela Carrasco,7,9.0,8,6,0,Melody,0.0,35,0
3,14,"Don't leave me this way, de Jimmy Sommerville",Florentino Fernández,9,8.0,5,8,0,Ángela,0.0,35,0
3,14,"La Lola, de Manuel Quijano (Café Quijano)",Santi Rodríguez,4,7.0,7,5,0,Xuso,0.0,28,0
3,14,"Romeo y Julieta, de Karina",José Manuel Soto,5,4.0,6,7,0,Melody,0.0,22,0
3,14,"Amigos para siempre, de Los Manolos",Los Chunguitos,6,5.0,4,4,0,Edurne,0.0,19,0
3,15,"Cuban Pete, de Jim Carrey (La Máscara)",Florentino Fernández,9,9.0,8,7,0,Llum,0.0,58,0
3,15,"Like a prayer, de Madonna",Llum Barrera,11,10.0,11,11,0,Florentino,0.0,48,0
3,15,"Hijo de la luna, de Ana Torroja (Mecano)",Melody,12,11.0,6,6,0,Edurne,0.0,40,0
3,15,"Y ahora, de Manuel Carrasco",José Manuel Soto,7,6.0,9,10,0,Florentino,0.0,37,0
3,15,"Bleeding Love, de Leona Lewis",Edurne,10,12.0,4,5,0,Florentino,0.0,36,0
3,15,"Ayer, de Gloria Estefan",Ángela Carrasco,5,8.0,12,8,0,Florentino,0.0,33,0
3,15,"Cuanto más acelero, de Javi Cantero",Santi Rodríguez,6,5.0,10,9,0,Florentino,0.0,30,0
3,15,"Torero, de Julio Iglesias y José Luis Rodríguez ""El Puma""",Los Chunguitos,4,4.0,7,12,0,Melody,0.0,27,0
3,15,"No puedo vivir sin ti, de Coque Malla (Los Ronaldos)",Xuso Jones,8,7.0,5,4,0,José Manuel,0.0,24,0
3,16,"Do What U Want, de Lady Gaga con Angy como Christina Aguilera",Melody,12,12.0,12,12,0,Florentino,0.0,63,0
3,16,"Vivo por ella, de Marta Sánchez con Daniel Diges como Andrea Bocelli",Edurne,10,11.0,11,9,0,Ángela,0.0,46,0
3,16,"You're my heart, you're my soul y Brother Louie, de Thomas Anders con Edu Soto como Dieter Bohlen (Modern Talking)",Xuso Jones,11,9.0,8,11,0,Llum,0.0,44,0
3,16,"All the things she said, de Julia Volkova con Carolina Ferre como Lena Katina (t.A.T.u)",Llum Barrera,9,10.0,9,8,0,Los Chunguitos,0.0,41,0
3,16,"La yenka y Super disco chino, de Enrique del Pozo con Anna Simon como Ana Anguita (Enrique y Ana)",Florentino Fernández,8,4.0,10,7,0,Melody,0.0,34,0
3,16,"Corazón contento, de Marisol con Roberto Leal como Palito Ortega",Ángela Carrasco,6,7.0,5,10,0,Edurne,0.0,33,0
3,16,"Eso es el amor, de María Durán, Mayra Gómez Kemp con Toñi Salazar como Beatriz Escudero (Trío Acuario)",Los Chunguitos,7,5.0,4,5,0,Melody,0.0,26,0
3,16,"Dos hombres y un destino, de David Bustamante con Francisco como Alex Casademunt",José Manuel Soto,5,8.0,6,6,0,Xuso,0.0,25,0
3,16,"La lista de la compra, de Lichis (La Cabra Mecánica) con Loles León como María Jiménez",Santi Rodríguez,4,6.0,7,4,0,Melody,0.0,21,0
3,17,"In the Ghetto, de El Príncipe Gitano",Santi Rodríguez,9,10.0,12,12,0,Los Chunguitos,0.0,58,0
3,17,"Torre de arena, de Marifé de Triana",Edurne,12,12.0,11,11,0,Melody,0.0,56,0
3,17,"Puedes contar conmigo, de Amaia Montero (La Oreja de Van Gogh)",Melody,11,11.0,10,9,0,Edurne,0.0,46,0
3,17,"Tu nombre me sabe a yerba, de Joan Manuel Serrat",José Manuel Soto,10,9.0,9,10,0,Santi,0.0,38,0
3,17,"No estamos lokos, de Ketama",Los Chunguitos,8,5.0,5,7,0,Ángela,0.0,35,0
3,17,"Talk dirty, de Jason Derülo",Xuso Jones,7,8.0,8,8,0,Santi,0.0,31,0
3,17,"Fuck You!, de Cee Lo Green",Florentino Fernández,6,7.0,7,6,0,Edurne,0.0,26,0
3,17,"Flashdance... What a Feeling, de Irene Cara",Llum Barrera,5,6.0,6,5,0,Santi,0.0,22,0
3,17,"Luna de miel, de Paloma San Basilio",Ángela Carrasco,4,4.0,4,4,0,Los Chunguitos,0.0,21,0
3,18,"Señora, de Rocío Jurado",Melody,12,12.0,10,12,0,Los Chunguitos,0.0,56,0
3,18,"With a little help from my friends, de Joe Cocker con Las Supremas de Móstoles como coristas",Florentino Fernández,11,11.0,12,11,0,Melody,0.0,50,0
3,18,"Como el agua, de Camarón de la Isla y Paco de Lucía",Los Chunguitos,8,8.0,9,8,0,Melody,0.0,48,0
3,18,"I Don't Want to Miss a Thing, de Steven Tyler (Aerosmith)",Xuso Jones,9,10.0,11,10,0,Florentino,0.0,40,0
3,18,"Hopelessly devoted to you, de Olivia Newton-John (Grease)",Llum Barrera,7,7.0,7,9,0,José Manuel,0.0,35,0
3,18,"Mucho mejor, de Andrés Calamaro (Los Rodríguez)",Santi Rodríguez,10,9.0,6,7,0,Llum,0.0,32,0
3,18,"La minifalda y Mujeres y vino, de Manolo Escobar",José Manuel Soto,6,6.0,8,5,0,Los Chunguitos,0.0,30,0
3,18,"Me voy, de Julieta Venegas",Ángela Carrasco,5,5.0,5,6,0,Los Chunguitos,0.0,21,0
4,1,"The Edge of Glory, de Lady Gaga",Ruth Lorenzo,11,11.0,12,10,12,Pablo,24.0,44 (12),0
4,1,"Sugar, de Adam Levine (Maroon 5)",Pablo Puyol,12,10.0,10,9,10,Edu,21.0,44 (11),0
4,1,"Al son del tambor, de Rosario Flores",Edu Soto,10,5.0,6,11,11,Falete,19.0,35 (8),0
4,1,"¡Qué dolor!, de Raffaella Carrà",Silvia Abril,9,6.0,11,12,8,El Sevilla,18.0,41 (10),0
4,1,"Where Are Ü Now, de Justin Bieber",Adrián Rodríguez,7,12.0,8,7,9,El Sevilla,16.0,34 (7),0
4,1,"Te amo, de Umberto Tozzi",Falete,8,9.0,9,8,7,Ana,16.0,37 (9),0
4,1,"Sólo le pido a Dios, de Ana Belén",Vicky Larraz,6,8.0,7,6,6,Silvia,11.0,27 (5),0
4,1,"Walking on Sunshine, de Katrina Leskanich (Katrina & The Waves)",Ana Morgade,5,7.0,5,5,5,El Sevilla,11.0,28 (6),0
4,1,"Venezia, de David Summers (Hombres G)",El Sevilla,4,4.0,4,4,4,Ana,8.0,25 (4),0
4,2,"Algo de mí, de Camilo Sesto",Edu Soto,10,12.0,8,11,12,Pablo,24.0,44 (12),0
4,2,"Barcelona, de Freddie Mercury y Montserrat Caballé (Dos en uno)[18]​",Ruth Lorenzo,9,9.0,11,9,11,Pablo,22.0,44 (11),0
4,2,"I'm Outta Love, de Anastacia",Pablo Puyol,8,10.0,6,10,10,Ruth,19.0,40 (9),0
4,2,"Amor eterno, de Juan Gabriel",Falete,12,11.0,12,8,9,El Sevilla,19.0,43 (10),0
4,2,"Ángel malherido, de El Barrio",Adrián Rodríguez,11,8.0,7,12,8,Edu,16.0,38 (8),0
4,2,"Dark Horse, de Katy Perry",Vicky Larraz,7,7.0,10,6,6,Ana,12.0,30 (6),0
4,2,"Pégate, de Ylenia",Silvia Abril,4,4.0,4,5,7,El Sevilla,11.0,20 (4),0
4,2,"La isla bonita, de Madonna",Ana Morgade,6,6.0,9,7,4,Ruth,11.0,31 (7),0
4,2,"Quiero ser como tú, de El Rey Mono (El Libro de la Selva)",El Sevilla,5,5.0,5,4,5,Silvia,10.0,25 (5),0
4,3,"Con dos camas vacías, de María Jiménez (Reto)[19]​",Falete,12,12.0,12,12,12,Ruth,24.0,51 (12),0
4,3,"El perdón, de Nicky Jam",Adrián Rodríguez,11,11.0,10,10,11,Pablo,22.0,42 (11),0
4,3,"Entre dos tierras, de Enrique Bunbury (Héroes del Silencio)",Pablo Puyol,10,10.0,7,9,10,Silvia,20.0,39 (10),0
4,3,"Porque te vas, de Jeanette",El Sevilla,5,7.0,11,11,9,Ana,17.0,34 (8),0
4,3,"Losing My Religion, de Michael Stipe (R.E.M.)",Edu Soto,7,6.0,6,7,8,Ana,13.0,29 (5),0
4,3,"All Around the World, de Lisa Stansfield",Vicky Larraz,9,9.0,5,8,6,Ruth,13.0,34 (7),0
4,3,"Shake It Off, de Taylor Swift",Ana Morgade,6,8.0,9,6,4,Vicky,13.0,35 (9),0
4,3,"No One, de Sor Cristina",Silvia Abril,4,5.0,4,4,7,Edu,11.0,20 (4),0
4,3,"Se me olvidó otra vez, de María Jiménez",Ruth Lorenzo,8,4.0,8,5,5,Falete,11.0,31 (6),0
4,4,"Part-Time Lover, de Stevie Wonder",Pablo Puyol,11,12.0,10,11,12,Vicky,23.0,44 (11),0
4,4,"Nothing Compares 2 U, de Sinéad O'Connor",Ruth Lorenzo,12,10.0,11,10,11,Vicky,21.0,43 (10),0
4,4,"Mi nuevo vicio, de Paulina Rubio",Adrián Rodríguez,4,8.0,12,7,10,Vicky,19.0,34 (9),0
4,4,"Thinking Out Loud, de Ed Sheeran",Vicky Larraz,10,11.0,7,12,5,Adrián,17.0,55 (12),0
4,4,"Y nos dieron las diez, de Joaquín Sabina",El Sevilla,7,5.0,8,6,9,Vicky,15.0,29 (6),0
4,4,"Disparé, de Mai Meneses (Nena Daconte)",Ana Morgade,9,9.0,4,9,7,Silvia,15.0,31 (8),0
4,4,"Don Diablo, de Miguel Bosé",Silvia Abril,6,7.0,5,8,8,Edu,13.0,29 (5),0
4,4,"Mammy blue, de José Mercé",Edu Soto,8,6.0,9,5,6,El Sevilla,13.0,31 (7),0
4,4,"Historias de amor, de Jordi Sánchez (OBK)",Falete,5,4.0,6,4,4,Vicky,8.0,19 (4),0
4,5,"Proud Mary, de Tina Turner",Ruth Lorenzo,12,12.0,12,12,12,Adrián,24.0,51 (12),0
4,5,"Qué será, será (Whatever Will Be, Will Be), de Doris Day (El hombre que sabía demasiado)",Silvia Abril,11,4.0,9,10,11,Adrián,20.0,37 (9),0
4,5,"Heart of glass, de Deborah Harry (Blondie)",Ana Morgade,10,9.0,11,8,9,Edu,20.0,41 (11),0
4,5,"América, de Nino Bravo",Adrián Rodríguez,5,5.0,4,9,10,Ruth,18.0,35 (8),0
4,5,"Demasiado corazón, de Willy DeVille",Edu Soto,8,8.0,8,11,8,Adrián,18.0,38 (10),0
4,5,"La mordidita, de Ricky Martin",Pablo Puyol,9,10.0,10,5,5,Adrián,12.0,34 (7),0
4,5,"Remolino, de Pancho Céspedes",Falete,4,6.0,7,6,7,Ana,11.0,23 (4),0
4,5,"Baila morena, de Zucchero",El Sevilla,7,7.0,6,4,6,Silvia,11.0,27 (5),0
4,5,"Tómame o déjame, de Amaya Uranga (Mocedades)",Vicky Larraz,6,11.0,5,7,4,El Sevilla,10.0,29 (6),0
4,6,"Angelitos negros, de Antonio Machín",Edu Soto,12,12.0,10,9,12,Sevilla,24.0,49 (12),0
4,6,"Loca, de Malena Gracia (Sorpresa, Sorpresa)",Ana Morgade,9,10.0,12,12,10,Falete,21.0,46 (11),0
4,6,"Highway to Hell, de Brian Johnson (AC/DC)",El Sevilla,5,9.0,8,11,11,Ana,20.0,36 (9),0
4,6,"Es mi hombre, de Sara Montiel",Falete,11,11.0,11,10,9,Ruth,19.0,46 (10),0
4,6,"Cheerleader, de OMI",Adrián Rodríguez,10,8.0,7,7,7,Edu,15.0,32 (8),0
4,6,"Toda la noche en la calle, de Eva Amaral (Amaral)",Ruth Lorenzo,7,7.0,6,6,8,Silvia,14.0,29 (6),0
4,6,"Don't Go Breaking My Heart, de Elton John y RuPaul (Dos en uno)[18]​",Pablo Puyol,8,5.0,9,8,5,Silvia,12.0,30 (7),0
4,6,"Womanizer, de Britney Spears",Silvia Abril,4,4.0,4,4,6,Vicky,10.0,22 (4),0
4,6,"Voyage voyage, de Desireless",Vicky Larraz,6,6.0,5,5,4,Edu,9.0,25 (5),0
4,7,"Abuelito dime tú, de Heidi (Heidi)",Silvia Abril,9,12.0,7,10,12,Vicky,24.0,53 (12),0
4,7,"Personal Jesus, de Marilyn Manson",Ruth Lorenzo,10,9.0,11,11,11,Silvia,21.0,41 (10),0
4,7,"Propuesta indecente, de Romeo Santos",Adrián Rodríguez,12,10.0,12,8,10,Vicky,21.0,45 (11),0
4,7,"El jardín prohibido, de Sandro Giacobbe",Pablo Puyol,11,8.0,9,12,9,Silvia,18.0,40 (9),0
4,7,"Black Is Black, de Mike Kennedy (Los Bravos)",Edu Soto,8,11.0,10,7,8,Silvia,16.0,36 (8),0
4,7,"La gozadera, de Alexander Delgado Hernández (Gente de Zona) con Xuso Jones como Marc Anthony (Trae un amigo)",El Sevilla,7,6.0,5,9,6,Silvia,12.0,27 (6),0
4,7,"If I Could Turn Back Time, de Cher",Vicky Larraz,4,4.0,8,6,5,Adrián,12.0,31 (7),0
4,7,"Saturday Night , de Whigfield",Ana Morgade,5,5.0,6,4,7,Silvia,11.0,20 (4),0
4,7,"Lobo hombre en París, de Rafa Sánchez (La Unión)",Falete,6,7.0,4,5,4,Vicky,9.0,22 (5),0
4,8,"Uptown Funk, de Bruno Mars",Pablo Puyol,8,12.0,10,12,12,Ruth,24.0,48 (12),0
4,8,"All by Myself, de Céline Dion",Ruth Lorenzo,11,11.0,12,10,11,Pablo,22.0,47 (11),0
4,8,"Cero, de Dani Martín",Adrián Rodríguez,12,7.0,8,8,10,El Sevilla,18.0,41 (8),0
4,8,"Sway, de Michael Bublé",Edu Soto,9,10.0,11,11,8,Adrián,18.0,44 (10),0
